Loop 1
Starting FedTrimmedAvg server
INFO flwr 2024-03-20 02:40:48,684 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
DEBUG flwr 2024-03-20 02:42:16,828 | server.py:187 | evaluate_round 3 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:42:16,829 | server.py:222 | fit_round 4: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:16,971 | server.py:236 | fit_round 4 received 50 results and 0 failures
INFO flwr 2024-03-20 02:42:17,009 | server.py:125 | fit progress: (4, 0.8336826430112946, {'accuracy': 0.6056}, 8.92506538098678)
DEBUG flwr 2024-03-20 02:42:17,011 | server.py:173 | evaluate_round 4: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:17,181 | server.py:187 | evaluate_round 4 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:42:17,181 | server.py:222 | fit_round 5: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:17,315 | server.py:236 | fit_round 5 received 50 results and 0 failures
INFO flwr 2024-03-20 02:42:17,337 | server.py:125 | fit progress: (5, 0.8378483979503759, {'accuracy': 0.5905}, 9.253398329019547)
DEBUG flwr 2024-03-20 02:42:17,338 | server.py:173 | evaluate_round 5: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:17,515 | server.py:187 | evaluate_round 5 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:42:17,516 | server.py:222 | fit_round 6: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:17,656 | server.py:236 | fit_round 6 received 50 results and 0 failures
INFO flwr 2024-03-20 02:42:17,693 | server.py:125 | fit progress: (6, 0.8272773178374935, {'accuracy': 0.6006}, 9.608641808968969)
DEBUG flwr 2024-03-20 02:42:17,696 | server.py:173 | evaluate_round 6: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:17,872 | server.py:187 | evaluate_round 6 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:42:17,872 | server.py:222 | fit_round 7: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:18,008 | server.py:236 | fit_round 7 received 50 results and 0 failures
INFO flwr 2024-03-20 02:42:18,035 | server.py:125 | fit progress: (7, 0.8356590581894375, {'accuracy': 0.5962}, 9.95068986795377)
DEBUG flwr 2024-03-20 02:42:18,036 | server.py:173 | evaluate_round 7: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:18,212 | server.py:187 | evaluate_round 7 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:42:18,212 | server.py:222 | fit_round 8: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:18,349 | server.py:236 | fit_round 8 received 50 results and 0 failures
INFO flwr 2024-03-20 02:42:18,371 | server.py:125 | fit progress: (8, 0.8244828511832849, {'accuracy': 0.6014}, 10.28662050398998)
DEBUG flwr 2024-03-20 02:42:18,372 | server.py:173 | evaluate_round 8: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:18,537 | server.py:187 | evaluate_round 8 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:42:18,537 | server.py:222 | fit_round 9: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:18,675 | server.py:236 | fit_round 9 received 50 results and 0 failures
INFO flwr 2024-03-20 02:42:18,712 | server.py:125 | fit progress: (9, 0.8328160048299563, {'accuracy': 0.5983}, 10.627904837951064)
DEBUG flwr 2024-03-20 02:42:18,713 | server.py:173 | evaluate_round 9: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:18,885 | server.py:187 | evaluate_round 9 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:42:18,886 | server.py:222 | fit_round 10: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:19,018 | server.py:236 | fit_round 10 received 50 results and 0 failures
INFO flwr 2024-03-20 02:42:19,046 | server.py:125 | fit progress: (10, 0.8231717047184935, {'accuracy': 0.6026}, 10.962186777964234)
DEBUG flwr 2024-03-20 02:42:19,047 | server.py:173 | evaluate_round 10: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:19,223 | server.py:187 | evaluate_round 10 received 50 results and 0 failures
INFO flwr 2024-03-20 02:42:19,224 | server.py:153 | FL finished in 11.139927068026736
INFO flwr 2024-03-20 02:42:19,224 | app.py:226 | app_fit: losses_distributed [(1, 0.9751284205913544), (2, 0.9160079681873321), (3, 0.8823019742965699), (4, 0.8330887079238891), (5, 0.8431334805488586), (6, 0.8299198389053345), (7, 0.840763509273529), (8, 0.8362490451335907), (9, 0.841768147945404), (10, 0.8310196757316589)]
INFO flwr 2024-03-20 02:42:19,224 | app.py:227 | app_fit: metrics_distributed_fit {}
INFO flwr 2024-03-20 02:42:19,224 | app.py:228 | app_fit: metrics_distributed {}
INFO flwr 2024-03-20 02:42:19,224 | app.py:229 | app_fit: losses_centralized [(0, 1.0986122886681096), (1, 0.9520892336710096), (2, 0.9100490074304369), (3, 0.8730004951777972), (4, 0.8336826430112946), (5, 0.8378483979503759), (6, 0.8272773178374935), (7, 0.8356590581894375), (8, 0.8244828511832849), (9, 0.8328160048299563), (10, 0.8231717047184935)]
INFO flwr 2024-03-20 02:42:19,224 | app.py:230 | app_fit: metrics_centralized {'accuracy': [(0, 0.2894), (1, 0.5588), (2, 0.543), (3, 0.5969), (4, 0.6056), (5, 0.5905), (6, 0.6006), (7, 0.5962), (8, 0.6014), (9, 0.5983), (10, 0.6026)]}
/home/zahil_c/flower-federated-logistic-regression/venv/lib/python3.11/site-packages/sklearn/base.py:432: UserWarning: X has feature names, but LogisticRegression was fitted without feature names
  warnings.warn(
Loop 2
Starting FedTrimmedAvg server
INFO flwr 2024-03-20 02:42:24,496 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
INFO flwr 2024-03-20 02:42:24,506 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
INFO flwr 2024-03-20 02:42:24,507 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-20 02:42:24,507 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-03-20 02:43:44,656 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-20 02:43:44,656 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-03-20 02:43:44,682 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
INFO flwr 2024-03-20 02:43:44,683 | server.py:104 | FL starting
DEBUG flwr 2024-03-20 02:43:51,539 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:51,557 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-03-20 02:43:51,558 | fedtrimmedavg.py:142 | No fit_metrics_aggregation_fn provided
INFO flwr 2024-03-20 02:43:51,574 | server.py:125 | fit progress: (1, 0.9438230745355893, {'accuracy': 0.5681}, 6.891008649021387)
DEBUG flwr 2024-03-20 02:43:51,575 | server.py:173 | evaluate_round 1: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:52,157 | server.py:187 | evaluate_round 1 received 50 results and 0 failures
WARNING flwr 2024-03-20 02:43:52,157 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
DEBUG flwr 2024-03-20 02:43:52,158 | server.py:222 | fit_round 2: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:52,351 | server.py:236 | fit_round 2 received 50 results and 0 failures
INFO flwr 2024-03-20 02:43:52,372 | server.py:125 | fit progress: (2, 0.9119610625522817, {'accuracy': 0.5416}, 7.688702716026455)
DEBUG flwr 2024-03-20 02:43:52,372 | server.py:173 | evaluate_round 2: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:52,561 | server.py:187 | evaluate_round 2 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:43:52,562 | server.py:222 | fit_round 3: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:52,698 | server.py:236 | fit_round 3 received 50 results and 0 failures
INFO flwr 2024-03-20 02:43:52,737 | server.py:125 | fit progress: (3, 0.883310356408886, {'accuracy': 0.5973}, 8.053512473939918)
DEBUG flwr 2024-03-20 02:43:52,739 | server.py:173 | evaluate_round 3: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:52,919 | server.py:187 | evaluate_round 3 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:43:52,919 | server.py:222 | fit_round 4: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:53,060 | server.py:236 | fit_round 4 received 50 results and 0 failures
INFO flwr 2024-03-20 02:43:53,098 | server.py:125 | fit progress: (4, 0.8343842652358393, {'accuracy': 0.6032}, 8.414715333026834)
DEBUG flwr 2024-03-20 02:43:53,101 | server.py:173 | evaluate_round 4: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:53,273 | server.py:187 | evaluate_round 4 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:43:53,274 | server.py:222 | fit_round 5: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:53,413 | server.py:236 | fit_round 5 received 50 results and 0 failures
INFO flwr 2024-03-20 02:43:53,437 | server.py:125 | fit progress: (5, 0.8428312995230334, {'accuracy': 0.5894}, 8.753503837040626)
DEBUG flwr 2024-03-20 02:43:53,437 | server.py:173 | evaluate_round 5: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:53,611 | server.py:187 | evaluate_round 5 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:43:53,612 | server.py:222 | fit_round 6: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:53,757 | server.py:236 | fit_round 6 received 50 results and 0 failures
INFO flwr 2024-03-20 02:43:53,802 | server.py:125 | fit progress: (6, 0.8272561786996999, {'accuracy': 0.5991}, 9.118432965944521)
DEBUG flwr 2024-03-20 02:43:53,803 | server.py:173 | evaluate_round 6: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:53,967 | server.py:187 | evaluate_round 6 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:43:53,967 | server.py:222 | fit_round 7: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:54,099 | server.py:236 | fit_round 7 received 50 results and 0 failures
INFO flwr 2024-03-20 02:43:54,136 | server.py:125 | fit progress: (7, 0.8354918446275164, {'accuracy': 0.5977}, 9.453037663013674)
DEBUG flwr 2024-03-20 02:43:54,140 | server.py:173 | evaluate_round 7: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:54,301 | server.py:187 | evaluate_round 7 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:43:54,302 | server.py:222 | fit_round 8: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:54,436 | server.py:236 | fit_round 8 received 50 results and 0 failures
INFO flwr 2024-03-20 02:43:54,477 | server.py:125 | fit progress: (8, 0.8252033870892279, {'accuracy': 0.6032}, 9.793630060041323)
DEBUG flwr 2024-03-20 02:43:54,478 | server.py:173 | evaluate_round 8: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:54,643 | server.py:187 | evaluate_round 8 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:43:54,644 | server.py:222 | fit_round 9: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:54,772 | server.py:236 | fit_round 9 received 50 results and 0 failures
INFO flwr 2024-03-20 02:43:54,795 | server.py:125 | fit progress: (9, 0.8326523590493827, {'accuracy': 0.5951}, 10.11194286996033)
DEBUG flwr 2024-03-20 02:43:54,796 | server.py:173 | evaluate_round 9: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:54,965 | server.py:187 | evaluate_round 9 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:43:54,966 | server.py:222 | fit_round 10: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:55,095 | server.py:236 | fit_round 10 received 50 results and 0 failures
INFO flwr 2024-03-20 02:43:55,134 | server.py:125 | fit progress: (10, 0.8236371210464053, {'accuracy': 0.6052}, 10.451149099040776)
DEBUG flwr 2024-03-20 02:43:55,137 | server.py:173 | evaluate_round 10: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:43:55,302 | server.py:187 | evaluate_round 10 received 50 results and 0 failures
INFO flwr 2024-03-20 02:43:55,302 | server.py:153 | FL finished in 10.618718452984467
INFO flwr 2024-03-20 02:43:55,302 | app.py:226 | app_fit: losses_distributed [(1, 0.9540565371513366), (2, 0.9071894276142121), (3, 0.8897974956035614), (4, 0.8331802797317505), (5, 0.845384705066681), (6, 0.8317011308670044), (7, 0.8289364123344422), (8, 0.8216574347019195), (9, 0.834128280878067), (10, 0.8137754440307617)]
INFO flwr 2024-03-20 02:43:55,303 | app.py:227 | app_fit: metrics_distributed_fit {}
INFO flwr 2024-03-20 02:43:55,303 | app.py:228 | app_fit: metrics_distributed {}
INFO flwr 2024-03-20 02:43:55,303 | app.py:229 | app_fit: losses_centralized [(0, 1.0986122886681096), (1, 0.9438230745355893), (2, 0.9119610625522817), (3, 0.883310356408886), (4, 0.8343842652358393), (5, 0.8428312995230334), (6, 0.8272561786996999), (7, 0.8354918446275164), (8, 0.8252033870892279), (9, 0.8326523590493827), (10, 0.8236371210464053)]
INFO flwr 2024-03-20 02:43:55,303 | app.py:230 | app_fit: metrics_centralized {'accuracy': [(0, 0.2894), (1, 0.5681), (2, 0.5416), (3, 0.5973), (4, 0.6032), (5, 0.5894), (6, 0.5991), (7, 0.5977), (8, 0.6032), (9, 0.5951), (10, 0.6052)]}
/home/zahil_c/flower-federated-logistic-regression/venv/lib/python3.11/site-packages/sklearn/base.py:432: UserWarning: X has feature names, but LogisticRegression was fitted without feature names
  warnings.warn(
Loop 3
Starting FedTrimmedAvg server
INFO flwr 2024-03-20 02:44:00,548 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
INFO flwr 2024-03-20 02:44:00,570 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
INFO flwr 2024-03-20 02:44:00,570 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-20 02:44:00,570 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-03-20 02:45:19,628 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-20 02:45:19,628 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-03-20 02:45:19,659 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
INFO flwr 2024-03-20 02:45:19,662 | server.py:104 | FL starting
DEBUG flwr 2024-03-20 02:45:26,509 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:26,574 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-03-20 02:45:26,576 | fedtrimmedavg.py:142 | No fit_metrics_aggregation_fn provided
INFO flwr 2024-03-20 02:45:26,600 | server.py:125 | fit progress: (1, 0.9694573028018604, {'accuracy': 0.5371}, 6.937444404000416)
DEBUG flwr 2024-03-20 02:45:26,603 | server.py:173 | evaluate_round 1: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:27,283 | server.py:187 | evaluate_round 1 received 50 results and 0 failures
WARNING flwr 2024-03-20 02:45:27,283 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
DEBUG flwr 2024-03-20 02:45:27,283 | server.py:222 | fit_round 2: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:27,521 | server.py:236 | fit_round 2 received 50 results and 0 failures
INFO flwr 2024-03-20 02:45:27,560 | server.py:125 | fit progress: (2, 0.9050412730006526, {'accuracy': 0.5461}, 7.897178677027114)
DEBUG flwr 2024-03-20 02:45:27,564 | server.py:173 | evaluate_round 2: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:27,774 | server.py:187 | evaluate_round 2 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:45:27,774 | server.py:222 | fit_round 3: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:27,908 | server.py:236 | fit_round 3 received 50 results and 0 failures
INFO flwr 2024-03-20 02:45:27,947 | server.py:125 | fit progress: (3, 0.9183591418997279, {'accuracy': 0.6113}, 8.284403947996907)
DEBUG flwr 2024-03-20 02:45:27,948 | server.py:173 | evaluate_round 3: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:28,122 | server.py:187 | evaluate_round 3 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:45:28,122 | server.py:222 | fit_round 4: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:28,261 | server.py:236 | fit_round 4 received 50 results and 0 failures
INFO flwr 2024-03-20 02:45:28,285 | server.py:125 | fit progress: (4, 0.8358387330478021, {'accuracy': 0.6026}, 8.622485316940583)
DEBUG flwr 2024-03-20 02:45:28,286 | server.py:173 | evaluate_round 4: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:28,457 | server.py:187 | evaluate_round 4 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:45:28,457 | server.py:222 | fit_round 5: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:28,593 | server.py:236 | fit_round 5 received 50 results and 0 failures
INFO flwr 2024-03-20 02:45:28,634 | server.py:125 | fit progress: (5, 0.8375386755121366, {'accuracy': 0.5909}, 8.971213127952069)
DEBUG flwr 2024-03-20 02:45:28,636 | server.py:173 | evaluate_round 5: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:28,810 | server.py:187 | evaluate_round 5 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:45:28,810 | server.py:222 | fit_round 6: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:28,947 | server.py:236 | fit_round 6 received 50 results and 0 failures
INFO flwr 2024-03-20 02:45:28,983 | server.py:125 | fit progress: (6, 0.8280082597340997, {'accuracy': 0.6001}, 9.320615179021843)
DEBUG flwr 2024-03-20 02:45:28,983 | server.py:173 | evaluate_round 6: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:29,158 | server.py:187 | evaluate_round 6 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:45:29,158 | server.py:222 | fit_round 7: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:29,293 | server.py:236 | fit_round 7 received 50 results and 0 failures
INFO flwr 2024-03-20 02:45:29,315 | server.py:125 | fit progress: (7, 0.8334606258899772, {'accuracy': 0.594}, 9.652136159944348)
DEBUG flwr 2024-03-20 02:45:29,315 | server.py:173 | evaluate_round 7: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:29,478 | server.py:187 | evaluate_round 7 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:45:29,478 | server.py:222 | fit_round 8: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:29,610 | server.py:236 | fit_round 8 received 50 results and 0 failures
INFO flwr 2024-03-20 02:45:29,653 | server.py:125 | fit progress: (8, 0.8251641073154852, {'accuracy': 0.6014}, 9.990108444937505)
DEBUG flwr 2024-03-20 02:45:29,655 | server.py:173 | evaluate_round 8: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:29,821 | server.py:187 | evaluate_round 8 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:45:29,821 | server.py:222 | fit_round 9: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:29,949 | server.py:236 | fit_round 9 received 50 results and 0 failures
INFO flwr 2024-03-20 02:45:29,992 | server.py:125 | fit progress: (9, 0.8321982525358393, {'accuracy': 0.596}, 10.329447458963841)
DEBUG flwr 2024-03-20 02:45:29,994 | server.py:173 | evaluate_round 9: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:30,158 | server.py:187 | evaluate_round 9 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:45:30,158 | server.py:222 | fit_round 10: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:30,297 | server.py:236 | fit_round 10 received 50 results and 0 failures
INFO flwr 2024-03-20 02:45:30,356 | server.py:125 | fit progress: (10, 0.8228580166137416, {'accuracy': 0.6026}, 10.693247854011133)
DEBUG flwr 2024-03-20 02:45:30,358 | server.py:173 | evaluate_round 10: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:45:30,518 | server.py:187 | evaluate_round 10 received 50 results and 0 failures
INFO flwr 2024-03-20 02:45:30,519 | server.py:153 | FL finished in 10.856190031976439
INFO flwr 2024-03-20 02:45:30,519 | app.py:226 | app_fit: losses_distributed [(1, 0.9855646181106568), (2, 0.9077468979358673), (3, 0.9341268396377563), (4, 0.8473316276073456), (5, 0.8388971245288849), (6, 0.8299261486530304), (7, 0.8418583917617798), (8, 0.8291868674755096), (9, 0.8250053811073303), (10, 0.8299196231365203)]
INFO flwr 2024-03-20 02:45:30,519 | app.py:227 | app_fit: metrics_distributed_fit {}
INFO flwr 2024-03-20 02:45:30,519 | app.py:228 | app_fit: metrics_distributed {}
INFO flwr 2024-03-20 02:45:30,519 | app.py:229 | app_fit: losses_centralized [(0, 1.0986122886681096), (1, 0.9694573028018604), (2, 0.9050412730006526), (3, 0.9183591418997279), (4, 0.8358387330478021), (5, 0.8375386755121366), (6, 0.8280082597340997), (7, 0.8334606258899772), (8, 0.8251641073154852), (9, 0.8321982525358393), (10, 0.8228580166137416)]
INFO flwr 2024-03-20 02:45:30,519 | app.py:230 | app_fit: metrics_centralized {'accuracy': [(0, 0.2894), (1, 0.5371), (2, 0.5461), (3, 0.6113), (4, 0.6026), (5, 0.5909), (6, 0.6001), (7, 0.594), (8, 0.6014), (9, 0.596), (10, 0.6026)]}
/home/zahil_c/flower-federated-logistic-regression/venv/lib/python3.11/site-packages/sklearn/base.py:432: UserWarning: X has feature names, but LogisticRegression was fitted without feature names
  warnings.warn(
Loop 4
Starting FedTrimmedAvg server
INFO flwr 2024-03-20 02:45:35,802 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
INFO flwr 2024-03-20 02:45:35,811 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
INFO flwr 2024-03-20 02:45:35,811 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-20 02:45:35,811 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-03-20 02:46:54,156 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-20 02:46:54,157 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-03-20 02:46:54,178 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
INFO flwr 2024-03-20 02:46:54,178 | server.py:104 | FL starting
DEBUG flwr 2024-03-20 02:47:01,874 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
DEBUG flwr 2024-03-20 02:47:01,901 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-03-20 02:47:01,902 | fedtrimmedavg.py:142 | No fit_metrics_aggregation_fn provided
INFO flwr 2024-03-20 02:47:01,919 | server.py:125 | fit progress: (1, 0.93548566535061, {'accuracy': 0.5547}, 7.7405438859714195)
DEBUG flwr 2024-03-20 02:47:01,919 | server.py:173 | evaluate_round 1: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:47:02,576 | server.py:187 | evaluate_round 1 received 50 results and 0 failures
WARNING flwr 2024-03-20 02:47:02,576 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
DEBUG flwr 2024-03-20 02:47:02,576 | server.py:222 | fit_round 2: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:47:02,769 | server.py:236 | fit_round 2 received 50 results and 0 failures
INFO flwr 2024-03-20 02:47:02,791 | server.py:125 | fit progress: (2, 0.9076332495133398, {'accuracy': 0.5509}, 8.612636601901613)
DEBUG flwr 2024-03-20 02:47:02,792 | server.py:173 | evaluate_round 2: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:47:02,977 | server.py:187 | evaluate_round 2 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:47:02,978 | server.py:222 | fit_round 3: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:47:03,116 | server.py:236 | fit_round 3 received 50 results and 0 failures
INFO flwr 2024-03-20 02:47:03,155 | server.py:125 | fit progress: (3, 0.9279829623337873, {'accuracy': 0.6168}, 8.976628898992203)
DEBUG flwr 2024-03-20 02:47:03,157 | server.py:173 | evaluate_round 3: strategy sampled 50 clients (out of 100)
