FedKrum Server | INFO flwr 2024-04-02 10:51:48,519 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:07,125 | server.py:173 | evaluate_round 5: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:07,940 | server.py:187 | evaluate_round 5 received 187 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 10:56:07,941 | server.py:222 | fit_round 6: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:08,554 | server.py:236 | fit_round 6 received 187 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 10:56:08,871 | server.py:125 | fit progress: (6, 0.8402028077767721, {'accuracy': 0.5909}, 91.66013269801624)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:08,873 | server.py:173 | evaluate_round 6: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:09,733 | server.py:187 | evaluate_round 6 received 187 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 10:56:09,734 | server.py:222 | fit_round 7: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:10,328 | server.py:236 | fit_round 7 received 187 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 10:56:10,560 | server.py:125 | fit progress: (7, 0.8477330534785742, {'accuracy': 0.6025}, 93.34922963520512)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:10,562 | server.py:173 | evaluate_round 7: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:11,356 | server.py:187 | evaluate_round 7 received 187 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 10:56:11,357 | server.py:222 | fit_round 8: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:12,017 | server.py:236 | fit_round 8 received 187 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 10:56:12,349 | server.py:125 | fit progress: (8, 0.837294043313227, {'accuracy': 0.597}, 95.13802215806209)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:12,351 | server.py:173 | evaluate_round 8: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:13,148 | server.py:187 | evaluate_round 8 received 187 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 10:56:13,149 | server.py:222 | fit_round 9: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:13,770 | server.py:236 | fit_round 9 received 187 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 10:56:14,069 | server.py:125 | fit progress: (9, 0.8406995211348564, {'accuracy': 0.605}, 96.85792535799555)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:14,074 | server.py:173 | evaluate_round 9: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:14,861 | server.py:187 | evaluate_round 9 received 187 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 10:56:14,862 | server.py:222 | fit_round 10: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:15,473 | server.py:236 | fit_round 10 received 187 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 10:56:15,784 | server.py:125 | fit progress: (10, 0.8358742558747645, {'accuracy': 0.599}, 98.57255829800852)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:15,786 | server.py:173 | evaluate_round 10: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:16,574 | server.py:187 | evaluate_round 10 received 187 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 10:56:16,575 | server.py:153 | FL finished in 99.36401125905104
FedKrum Server | INFO flwr 2024-04-02 10:56:16,578 | app.py:226 | app_fit: losses_distributed [(1, 0.9556668020430066), (2, 0.9601869436508832), (3, 0.9183131998235529), (4, 0.9404847647417038), (5, 0.9220423347809735), (6, 0.8476609979721315), (7, 0.8551690457338955), (8, 0.8429730343308678), (9, 0.8503365054487545), (10, 0.8425684746573953)]
FedKrum Server | INFO flwr 2024-04-02 10:56:16,579 | app.py:227 | app_fit: metrics_distributed_fit {}
FedKrum Server | INFO flwr 2024-04-02 10:56:16,580 | app.py:228 | app_fit: metrics_distributed {}
FedKrum Server | INFO flwr 2024-04-02 10:56:16,581 | app.py:229 | app_fit: losses_centralized [(0, 1.0986122886681096), (1, 0.9442516829041029), (2, 0.9493267750698924), (3, 0.9024144102135604), (4, 0.9310245769814958), (5, 0.905143372829433), (6, 0.8402028077767721), (7, 0.8477330534785742), (8, 0.837294043313227), (9, 0.8406995211348564), (10, 0.8358742558747645)]
FedKrum Server | INFO flwr 2024-04-02 10:56:16,582 | app.py:230 | app_fit: metrics_centralized {'accuracy': [(0, 0.2894), (1, 0.5354), (2, 0.5524), (3, 0.5805), (4, 0.5619), (5, 0.6047), (6, 0.5909), (7, 0.6025), (8, 0.597), (9, 0.605), (10, 0.599)]}
FedKrum Server | INFO flwr 2024-04-02 10:56:22,200 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FedKrum Server | INFO flwr 2024-04-02 10:56:22,209 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FedKrum Server | INFO flwr 2024-04-02 10:56:22,210 | server.py:89 | Initializing global parameters
FedKrum Server | INFO flwr 2024-04-02 10:56:22,210 | server.py:276 | Requesting initial parameters from one random client
FedKrum Server | INFO flwr 2024-04-02 11:00:27,777 | server.py:280 | Received initial parameters from one random client
FedKrum Server | INFO flwr 2024-04-02 11:00:27,778 | server.py:91 | Evaluating initial parameters
FedKrum Server | INFO flwr 2024-04-02 11:00:27,811 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
FedKrum Server | INFO flwr 2024-04-02 11:00:27,812 | server.py:104 | FL starting
FedKrum Server | DEBUG flwr 2024-04-02 11:00:31,810 | server.py:222 | fit_round 1: strategy sampled 5 clients (out of 100)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:32,122 | server.py:236 | fit_round 1 received 5 results and 0 failures
FedKrum Server | WARNING flwr 2024-04-02 11:00:32,124 | krum.py:153 | No fit_metrics_aggregation_fn provided
FedKrum Server | INFO flwr 2024-04-02 11:00:32,152 | server.py:125 | fit progress: (1, 1.0042811226817663, {'accuracy': 0.5601}, 4.338952403981239)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:32,156 | server.py:173 | evaluate_round 1: strategy sampled 101 clients (out of 101)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:36,968 | server.py:187 | evaluate_round 1 received 101 results and 0 failures
FedKrum Server | WARNING flwr 2024-04-02 11:00:36,968 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
FedKrum Server | DEBUG flwr 2024-04-02 11:00:36,968 | server.py:222 | fit_round 2: strategy sampled 178 clients (out of 178)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:38,536 | server.py:236 | fit_round 2 received 178 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:00:38,731 | server.py:125 | fit progress: (2, 0.9704405492328442, {'accuracy': 0.5276}, 10.918019592994824)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:38,733 | server.py:173 | evaluate_round 2: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:39,618 | server.py:187 | evaluate_round 2 received 184 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:00:39,619 | server.py:222 | fit_round 3: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:40,250 | server.py:236 | fit_round 3 received 184 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:00:40,565 | server.py:125 | fit progress: (3, 1.0077016108891124, {'accuracy': 0.5886}, 12.75146258994937)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:40,567 | server.py:173 | evaluate_round 3: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:41,568 | server.py:187 | evaluate_round 3 received 184 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:00:41,568 | server.py:222 | fit_round 4: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:42,185 | server.py:236 | fit_round 4 received 184 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:00:42,576 | server.py:125 | fit progress: (4, 0.9789733251581367, {'accuracy': 0.5209}, 14.762518831994385)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:42,580 | server.py:173 | evaluate_round 4: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:43,348 | server.py:187 | evaluate_round 4 received 184 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:00:43,350 | server.py:222 | fit_round 5: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:43,947 | server.py:236 | fit_round 5 received 184 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:00:44,137 | server.py:125 | fit progress: (5, 1.0039440966554358, {'accuracy': 0.5881}, 16.323469123104587)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:44,137 | server.py:173 | evaluate_round 5: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:44,908 | server.py:187 | evaluate_round 5 received 184 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:00:44,909 | server.py:222 | fit_round 6: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:45,485 | server.py:236 | fit_round 6 received 184 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:00:45,805 | server.py:125 | fit progress: (6, 0.9763993394353242, {'accuracy': 0.5241}, 17.992094315122813)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:45,807 | server.py:173 | evaluate_round 6: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:46,585 | server.py:187 | evaluate_round 6 received 184 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:00:46,585 | server.py:222 | fit_round 7: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:47,257 | server.py:236 | fit_round 7 received 184 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:00:47,578 | server.py:125 | fit progress: (7, 0.9937613597473938, {'accuracy': 0.5871}, 19.765165358083323)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:47,582 | server.py:173 | evaluate_round 7: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:48,333 | server.py:187 | evaluate_round 7 received 184 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:00:48,334 | server.py:222 | fit_round 8: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:48,916 | server.py:236 | fit_round 8 received 184 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:00:49,241 | server.py:125 | fit progress: (8, 0.9893995681188444, {'accuracy': 0.53}, 21.427661577938125)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:49,245 | server.py:173 | evaluate_round 8: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:50,011 | server.py:187 | evaluate_round 8 received 184 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:00:50,012 | server.py:222 | fit_round 9: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:50,570 | server.py:236 | fit_round 9 received 184 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:00:50,883 | server.py:125 | fit progress: (9, 0.9762727041485865, {'accuracy': 0.5913}, 23.069968634052202)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:50,885 | server.py:173 | evaluate_round 9: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:51,643 | server.py:187 | evaluate_round 9 received 184 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:00:51,643 | server.py:222 | fit_round 10: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:52,221 | server.py:236 | fit_round 10 received 184 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:00:52,545 | server.py:125 | fit progress: (10, 0.8468403807804776, {'accuracy': 0.6081}, 24.732038347050548)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:52,548 | server.py:173 | evaluate_round 10: strategy sampled 184 clients (out of 184)
FedKrum Server | DEBUG flwr 2024-04-02 11:00:53,310 | server.py:187 | evaluate_round 10 received 184 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:00:53,311 | server.py:153 | FL finished in 25.497633188962936
FedKrum Server | INFO flwr 2024-04-02 11:00:53,312 | app.py:226 | app_fit: losses_distributed [(1, 1.0162438956817779), (2, 0.9814137427703195), (3, 1.028720083767953), (4, 0.9911053096470626), (5, 1.010824562738771), (6, 0.9968493516030519), (7, 1.0099525717289553), (8, 1.0069270399601564), (9, 0.9944842357350432), (10, 0.8437392705160639)]
FedKrum Server | INFO flwr 2024-04-02 11:00:53,312 | app.py:227 | app_fit: metrics_distributed_fit {}
FedKrum Server | INFO flwr 2024-04-02 11:00:53,312 | app.py:228 | app_fit: metrics_distributed {}
FedKrum Server | INFO flwr 2024-04-02 11:00:53,312 | app.py:229 | app_fit: losses_centralized [(0, 1.0986122886681096), (1, 1.0042811226817663), (2, 0.9704405492328442), (3, 1.0077016108891124), (4, 0.9789733251581367), (5, 1.0039440966554358), (6, 0.9763993394353242), (7, 0.9937613597473938), (8, 0.9893995681188444), (9, 0.9762727041485865), (10, 0.8468403807804776)]
FedKrum Server | INFO flwr 2024-04-02 11:00:53,312 | app.py:230 | app_fit: metrics_centralized {'accuracy': [(0, 0.2894), (1, 0.5601), (2, 0.5276), (3, 0.5886), (4, 0.5209), (5, 0.5881), (6, 0.5241), (7, 0.5871), (8, 0.53), (9, 0.5913), (10, 0.6081)]}
FedKrum Server | INFO flwr 2024-04-02 11:00:59,019 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FedKrum Server | INFO flwr 2024-04-02 11:00:59,035 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FedKrum Server | INFO flwr 2024-04-02 11:00:59,035 | server.py:89 | Initializing global parameters
FedKrum Server | INFO flwr 2024-04-02 11:00:59,036 | server.py:276 | Requesting initial parameters from one random client
FedKrum Server | INFO flwr 2024-04-02 11:03:49,899 | server.py:280 | Received initial parameters from one random client
FedKrum Server | INFO flwr 2024-04-02 11:03:49,899 | server.py:91 | Evaluating initial parameters
FedKrum Server | INFO flwr 2024-04-02 11:03:49,935 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
FedKrum Server | INFO flwr 2024-04-02 11:03:49,939 | server.py:104 | FL starting
FedKrum Server | DEBUG flwr 2024-04-02 11:04:57,495 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
FedKrum Server | DEBUG flwr 2024-04-02 11:04:57,979 | server.py:236 | fit_round 1 received 2 results and 0 failures
FedKrum Server | WARNING flwr 2024-04-02 11:04:57,981 | krum.py:153 | No fit_metrics_aggregation_fn provided
FedKrum Server | INFO flwr 2024-04-02 11:04:58,008 | server.py:125 | fit progress: (1, 0.9872639514558086, {'accuracy': 0.5507}, 68.06819794583134)
FedKrum Server | DEBUG flwr 2024-04-02 11:04:58,012 | server.py:173 | evaluate_round 1: strategy sampled 111 clients (out of 111)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:04,292 | server.py:187 | evaluate_round 1 received 111 results and 0 failures
FedKrum Server | WARNING flwr 2024-04-02 11:05:04,292 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
FedKrum Server | DEBUG flwr 2024-04-02 11:05:04,292 | server.py:222 | fit_round 2: strategy sampled 176 clients (out of 176)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:05,906 | server.py:236 | fit_round 2 received 176 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:05:06,189 | server.py:125 | fit progress: (2, 0.9643534229852366, {'accuracy': 0.5233}, 76.24890194297768)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:06,190 | server.py:173 | evaluate_round 2: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:07,360 | server.py:187 | evaluate_round 2 received 188 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:05:07,361 | server.py:222 | fit_round 3: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:08,021 | server.py:236 | fit_round 3 received 188 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:05:08,340 | server.py:125 | fit progress: (3, 0.9867578292298862, {'accuracy': 0.5876}, 78.39967922493815)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:08,344 | server.py:173 | evaluate_round 3: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:09,165 | server.py:187 | evaluate_round 3 received 188 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:05:09,166 | server.py:222 | fit_round 4: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:09,820 | server.py:236 | fit_round 4 received 188 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:05:10,229 | server.py:125 | fit progress: (4, 0.8541432519469003, {'accuracy': 0.5951}, 80.2885437249206)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:10,232 | server.py:173 | evaluate_round 4: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:11,077 | server.py:187 | evaluate_round 4 received 188 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:05:11,078 | server.py:222 | fit_round 5: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:11,707 | server.py:236 | fit_round 5 received 188 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:05:11,924 | server.py:125 | fit progress: (5, 0.8583277726400985, {'accuracy': 0.5851}, 81.98345798184164)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:11,925 | server.py:173 | evaluate_round 5: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:12,747 | server.py:187 | evaluate_round 5 received 188 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:05:12,748 | server.py:222 | fit_round 6: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:13,367 | server.py:236 | fit_round 6 received 188 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:05:13,682 | server.py:125 | fit progress: (6, 0.8493756915600288, {'accuracy': 0.5869}, 83.74233044986613)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:13,684 | server.py:173 | evaluate_round 6: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:14,489 | server.py:187 | evaluate_round 6 received 188 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:05:14,490 | server.py:222 | fit_round 7: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:15,113 | server.py:236 | fit_round 7 received 188 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:05:15,453 | server.py:125 | fit progress: (7, 0.8389624474700109, {'accuracy': 0.5969}, 85.51284454087727)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:15,457 | server.py:173 | evaluate_round 7: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:16,251 | server.py:187 | evaluate_round 7 received 188 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:05:16,252 | server.py:222 | fit_round 8: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:16,867 | server.py:236 | fit_round 8 received 188 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:05:17,036 | server.py:125 | fit progress: (8, 0.8452220572237322, {'accuracy': 0.5863}, 87.0957321380265)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:17,037 | server.py:173 | evaluate_round 8: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:17,851 | server.py:187 | evaluate_round 8 received 188 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:05:17,852 | server.py:222 | fit_round 9: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:18,472 | server.py:236 | fit_round 9 received 188 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:05:18,810 | server.py:125 | fit progress: (9, 0.8370555295567825, {'accuracy': 0.6006}, 88.87031661183573)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:18,815 | server.py:173 | evaluate_round 9: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:19,597 | server.py:187 | evaluate_round 9 received 188 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 11:05:19,598 | server.py:222 | fit_round 10: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:20,220 | server.py:236 | fit_round 10 received 188 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:05:20,523 | server.py:125 | fit progress: (10, 0.848189284636756, {'accuracy': 0.5862}, 90.58271422493272)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:20,525 | server.py:173 | evaluate_round 10: strategy sampled 188 clients (out of 188)
FedKrum Server | DEBUG flwr 2024-04-02 11:05:21,340 | server.py:187 | evaluate_round 10 received 188 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 11:05:21,341 | server.py:153 | FL finished in 91.40099654882215
FedKrum Server | INFO flwr 2024-04-02 11:05:21,342 | app.py:226 | app_fit: losses_distributed [(1, 1.0016515539573119), (2, 0.9642206462139779), (3, 0.9914453638360855), (4, 0.8545481698944214), (5, 0.8582733986859626), (6, 0.8522819987636931), (7, 0.8382343678398335), (8, 0.8443587739416893), (9, 0.8365448485029504), (10, 0.8486067966577855)]
FedKrum Server | INFO flwr 2024-04-02 11:05:21,342 | app.py:227 | app_fit: metrics_distributed_fit {}
FedKrum Server | INFO flwr 2024-04-02 11:05:21,342 | app.py:228 | app_fit: metrics_distributed {}
FedKrum Server | INFO flwr 2024-04-02 11:05:21,342 | app.py:229 | app_fit: losses_centralized [(0, 1.0986122886681096), (1, 0.9872639514558086), (2, 0.9643534229852366), (3, 0.9867578292298862), (4, 0.8541432519469003), (5, 0.8583277726400985), (6, 0.8493756915600288), (7, 0.8389624474700109), (8, 0.8452220572237322), (9, 0.8370555295567825), (10, 0.848189284636756)]
FedKrum Server | INFO flwr 2024-04-02 11:05:21,342 | app.py:230 | app_fit: metrics_centralized {'accuracy': [(0, 0.2894), (1, 0.5507), (2, 0.5233), (3, 0.5876), (4, 0.5951), (5, 0.5851), (6, 0.5869), (7, 0.5969), (8, 0.5863), (9, 0.6006), (10, 0.5862)]}
FedKrum Server | INFO flwr 2024-04-02 11:05:27,080 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FedKrum Server | INFO flwr 2024-04-02 11:05:27,107 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
